"","X","season","agebin","densitybin","fraction_infected_bin","count","num_in_group","freq_frac_infect","site","month"
"1",1,"Wet",80,0,5,1,124,0.00806451612903226,"Sapone_2018",8
"2",2,"Wet",80,0,0,123,124,0.991935483870968,"Sapone_2018",8
"3",3,"Wet",80,0,20,0,124,0,"Sapone_2018",8
"4",4,"Wet",80,0,40,0,124,0,"Sapone_2018",8
"5",5,"Wet",80,0,80,0,124,0,"Sapone_2018",8
"6",6,"Wet",80,0,60,0,124,0,"Sapone_2018",8
"7",7,"Wet",80,0.5,5,0,56,0,"Sapone_2018",8
"8",8,"Wet",80,0.5,0,56,56,1,"Sapone_2018",8
"9",9,"Wet",80,0.5,20,0,56,0,"Sapone_2018",8
"10",10,"Wet",80,0.5,40,0,56,0,"Sapone_2018",8
"11",11,"Wet",80,0.5,80,0,56,0,"Sapone_2018",8
"12",12,"Wet",80,0.5,60,0,56,0,"Sapone_2018",8
"13",13,"Wet",80,5,5,1,33,0.0303030303030303,"Sapone_2018",8
"14",14,"Wet",80,5,0,31,33,0.939393939393939,"Sapone_2018",8
"15",15,"Wet",80,5,20,1,33,0.0303030303030303,"Sapone_2018",8
"16",16,"Wet",80,5,40,0,33,0,"Sapone_2018",8
"17",17,"Wet",80,5,80,0,33,0,"Sapone_2018",8
"18",18,"Wet",80,5,60,0,33,0,"Sapone_2018",8
"19",19,"Wet",80,50,5,1,8,0.125,"Sapone_2018",8
"20",20,"Wet",80,50,0,2,8,0.25,"Sapone_2018",8
"21",21,"Wet",80,50,20,4,8,0.5,"Sapone_2018",8
"22",22,"Wet",80,50,40,0,8,0,"Sapone_2018",8
"23",23,"Wet",80,50,80,1,8,0.125,"Sapone_2018",8
"24",24,"Wet",80,50,60,0,8,0,"Sapone_2018",8
"25",25,"Wet",80,500,5,0,0,NA,"Sapone_2018",8
"26",26,"Wet",80,500,0,0,0,NA,"Sapone_2018",8
"27",27,"Wet",80,500,20,0,0,NA,"Sapone_2018",8
"28",28,"Wet",80,500,40,0,0,NA,"Sapone_2018",8
"29",29,"Wet",80,500,80,0,0,NA,"Sapone_2018",8
"30",30,"Wet",80,500,60,0,0,NA,"Sapone_2018",8
"31",31,"Wet",15,0,5,0,150,0,"Sapone_2018",8
"32",32,"Wet",15,0,0,150,150,1,"Sapone_2018",8
"33",33,"Wet",15,0,20,0,150,0,"Sapone_2018",8
"34",34,"Wet",15,0,40,0,150,0,"Sapone_2018",8
"35",35,"Wet",15,0,80,0,150,0,"Sapone_2018",8
"36",36,"Wet",15,0,60,0,150,0,"Sapone_2018",8
"37",37,"Wet",15,0.5,5,0,44,0,"Sapone_2018",8
"38",38,"Wet",15,0.5,0,44,44,1,"Sapone_2018",8
"39",39,"Wet",15,0.5,20,0,44,0,"Sapone_2018",8
"40",40,"Wet",15,0.5,40,0,44,0,"Sapone_2018",8
"41",41,"Wet",15,0.5,80,0,44,0,"Sapone_2018",8
"42",42,"Wet",15,0.5,60,0,44,0,"Sapone_2018",8
"43",43,"Wet",15,5,5,4,26,0.153846153846154,"Sapone_2018",8
"44",44,"Wet",15,5,0,21,26,0.807692307692308,"Sapone_2018",8
"45",45,"Wet",15,5,20,0,26,0,"Sapone_2018",8
"46",46,"Wet",15,5,40,1,26,0.0384615384615385,"Sapone_2018",8
"47",47,"Wet",15,5,80,0,26,0,"Sapone_2018",8
"48",48,"Wet",15,5,60,0,26,0,"Sapone_2018",8
"49",49,"Wet",15,50,5,4,15,0.266666666666667,"Sapone_2018",8
"50",50,"Wet",15,50,0,3,15,0.2,"Sapone_2018",8
"51",51,"Wet",15,50,20,7,15,0.466666666666667,"Sapone_2018",8
"52",52,"Wet",15,50,40,0,15,0,"Sapone_2018",8
"53",53,"Wet",15,50,80,0,15,0,"Sapone_2018",8
"54",54,"Wet",15,50,60,1,15,0.0666666666666667,"Sapone_2018",8
"55",55,"Wet",15,500,5,0,2,0,"Sapone_2018",8
"56",56,"Wet",15,500,0,1,2,0.5,"Sapone_2018",8
"57",57,"Wet",15,500,20,0,2,0,"Sapone_2018",8
"58",58,"Wet",15,500,40,0,2,0,"Sapone_2018",8
"59",59,"Wet",15,500,80,0,2,0,"Sapone_2018",8
"60",60,"Wet",15,500,60,1,2,0.5,"Sapone_2018",8
"61",61,"Wet",5,0,5,0,62,0,"Sapone_2018",8
"62",62,"Wet",5,0,0,62,62,1,"Sapone_2018",8
"63",63,"Wet",5,0,20,0,62,0,"Sapone_2018",8
"64",64,"Wet",5,0,40,0,62,0,"Sapone_2018",8
"65",65,"Wet",5,0,80,0,62,0,"Sapone_2018",8
"66",66,"Wet",5,0,60,0,62,0,"Sapone_2018",8
"67",67,"Wet",5,0.5,5,0,3,0,"Sapone_2018",8
"68",68,"Wet",5,0.5,0,3,3,1,"Sapone_2018",8
"69",69,"Wet",5,0.5,20,0,3,0,"Sapone_2018",8
"70",70,"Wet",5,0.5,40,0,3,0,"Sapone_2018",8
"71",71,"Wet",5,0.5,80,0,3,0,"Sapone_2018",8
